language,gender,height,pvot,tvot,kvot,bvot,dvot,gvot,pclo,tclo,kclo,bclo,dclo,gclo,class
English,Female,167.64,63,102,82,-19,31,39,105,93,72,111,85,92,Fall 2017
English,Female,167.64,76,80,100,19,21,83,99,65,93,149,89,107,Fall 2017
English,Female,168,142,78,88,4,12,23,44,188,88,103,53,76,Fall 2017
English,Female,168,74,74,78,11,13,-47,88,65,62,99,79,73,Fall 2017
English,Male,168,75,73,70,20,23,32,71,59,50,67,53,38,Fall 2017
English,Male,168.91,56,96,101,-72,-81,-25,84,60,69,75,49,71,Fall 2017
English,Female,169,90,102,111,10,17,28,84,65,59,106,80,76,Fall 2017
English,Male,169,99,78,87,18,17,25,297,180,135,183,190,157,Fall 2017
English,Female,170,56,68,77,14,-96,33,76,59,41,69,39,30,Fall 2017
English,Female,170,60,78,40,70,60,60,120,50,95,40,30,30,Fall 2017
English,Male,170,64,81,84,-13,-20,18,86,63,66,68,94,90,Fall 2017
Swedish,Female,170,72,96,81,12,16,25,95,86,87,121,94,105,Fall 2017
English,Female,170,77,100,76,18,22,27,113,70,89,127,88,77,Fall 2017
English,Female,170,80,120,95,38,31,34,154,188,157,210,193,240,Fall 2017
English,Female,170.18,83,101,110,-39,-138,-72,731,484,453,292,271,259,Fall 2017
English,Female,170.18,85,106,105,-129,-83,-160,54,69,72,111,91,108,Fall 2017
English,Male,170.18,111,133,123,21,26,141,169,101,97,92,144,106,Fall 2017
English,Female,170.18,123,101,114,17,20,33,133,111,104,147,112,115,Fall 2017
English,Female,170.18,123,101,114,-17,-20,-33,133,111,104,147,112,115,Fall 2017
Japanese,Male,171,52,97,86,9,-158,23,141,141,93,222,123,130,Fall 2017
English,Male,171,102,108,111,-19,-25,-32,84,96,82,63,30,55,Fall 2017
English,Male,172.72,60,100,83,13,29,25,76,36,50,99,47,62,Fall 2017
English,Male,172.72,73,96,110,33,28,34,88,56,88,46,88,81,Fall 2017
English,Female,172.72,99,120,125,-9,24,20,42,52,91,97,192,172,Fall 2017
English,Male,173,81,89,106,11,17,23,70,29,70,69,89,102,Fall 2017
English,Female,175,56,0,24,10,26,21,226,100,89,140,119,106,Fall 2017
English,Male,175,70,60,86,66,66,67,113,181,153,197,227,230,Fall 2017
Mandarin,Male,175,102,83,117,10,12,51,137,158,179,200,85,76,Fall 2017
English,Male,177.8,58,130,77,-17,-20,-25,173,94,73,125,64,65,Fall 2017
English,Male,177.8,74,101,102,-129,-113,-121,87,46,31,46,59,33,Fall 2017
English,Male,177.8,77,100,98,-120,-96,-90,39,46,26,61,35,35,Fall 2017
English,Female,177.8,120,125,112,-208,-161,-118,137,138,130,168,131,126,Fall 2017
Urdu,Male,178,66,118,105,-133,-95,-145,97,64,53,85,78,103,Fall 2017
English,Male,178,109,106,122,29,27,-45,603,298,14,99,255,126,Fall 2017
English,Male,179,104,114,128,-65,25,60,145,149,117,175,144,121,Fall 2017
English,Male,180,83,100,107,20,24,40,102,99,120,22,31,32,Fall 2017
English,Male,180,101,139,123,14,38,47,90,83,73,93,86,83,Fall 2017
English,Male,180,137,109,113,14,15,-12,120,80,97,127,102,133,Fall 2017
English,Prefer not to answer,182.88,85,75,79,9,14,34,91,88,58,56,77,31,Fall 2017
English,Male,183,59,86,53,17,15,17,108,74,104,133,116,114,Fall 2017
English,Male,183,64,77,69,-11,-22,-29,78,79,74,27,87,90,Fall 2017
Spanish,Male,186,56,101,191,-155,-100,-86,29,41,109,37,50,174,Fall 2017
